GRID,Name,CIND,Avox,ClientType,Explanation,CountryInc,Country,LOB,Cif Risk,Risk Rating,HasTransactions,NumberOfTransactions,Sources,MaxTradeDate,TotalAmount,AccountSources,Open Account Sources,AccountIds,Markets,HSI,Payments,GTRF,HSS,NumberofTransactions,NKYC_PROFILE_ID_LATEST,NKYC_STATUS_LATEST,NKYC_REQUEST_TYPE_LATEST,NKYC_RISK_RATING_LATEST,KYCS_NEXT_RENEWAL_DATE_LATEST,RM,Rec
4546225,cust254,710684174,34908909,GBM Customers,Direct Customer,usa,usa,gbm,m,medium,no,0,KYCS,1800-01-01,0,CIF,CIF,Acc1 Acc2 Acc3 Acc4 Acc143,no,no,no,no,no,0,20173566,EXPIRED,New Business,MEDIUM,7/6/2019,Amrita Singh,"IMPACT TRADES,FISC,WDA"
4325516,cust255,56435356,16952985,GBM Customers,Direct Customer,usa,usa,lcrp,l,low,yes,12,"DDA, KYCS",4/17/2020,7797768,CIF,CIF,Acc1 Acc2 Acc3 Acc4 Acc144,no,no,yes,no,no,12,20192960,ACTIVE,New Business - Remediation,LOW,9/9/2023,Jonathan Parker,"GPS,FISC,PMC"
72292,cust256,194887856,3788849,GBM Customers,Direct Customer,usa,usa,gbm,l,low,yes,61690,"FISC, Impact Fin, Impact Trades, NFOS, KYCS",5/14/2020,5.11E+11,CIF ISD,CIF ISD,Acc1 Acc2 Acc3 Acc4 Acc145,yes,yes,no,no,no,61690,20202958,ACTIVE,Renewal,LOW,8/1/2022,Steve Moore,"TDA,TRT,GPS"
4544606,cust257,905112809,34867692,GBM Customers,Direct Customer,usa,usa,gbm,m,medium,no,0,KYCS,1800-01-01,0,CIF,CIF,Acc1 Acc2 Acc3 Acc4 Acc146,no,no,no,no,no,0,20173369,INACTIVE,New Business,MEDIUM,1800-01-01,Deloise Marez  ,"IMPACT TRADES,FISC,WDA"
4464690,cust258,268988386,31010423,GBM Customers,Direct Customer,usa,usa,gbm,m,low,yes,17,"GPS, KYCS, WDA",9/17/2019,208483900,CIF,CIF,Acc1 Acc2 Acc3 Acc4 Acc147,no,no,yes,no,no,17,20202546,ACTIVE,Renewal (Scheduled),LOW,3/30/2025,Alan Amante  ,"PMC,DDA,IMPACT TRADES"
4368845,cust259,100092957,27331870,GBM Customers,Direct Customer,usa,usa,gbm,l,low,no,0,KYCS,1800-01-01,0,ISD,ISD,Acc1 Acc2 Acc3 Acc4 Acc148,no,no,no,no,no,0,20182463,ACTIVE,New Business - Remediation,LOW,5/14/2024,Shila Eyre  ,"IMPACT TRADES,FISC,WDA"
25547113,cust260,11082341,37180202,GBM Customers,Direct Customer,gbr,gbr,gbm,l,low,no,0,KYCS,1800-01-01,0,CIF,CIF,Acc1 Acc2 Acc3 Acc4 Acc149,no,no,no,no,no,0,20193160,ACTIVE,New Business,LOW,3/18/2020,Makeda Hutson  ,"GPS,WDA"
319559,cust261,693627090,9710991,GBM Customers,Direct Customer,usa,usa,gbm,l,low,yes,618,"Hie, Loan IQ, NFOS, KYCS",4/30/2020,3.13E+11,CIF ISD,CIF ISD,Acc1 Acc2 Acc3 Acc4 Acc150,yes,no,no,yes,yes,618,20212663,ACTIVE,Trigger,LOW,9/9/2024,Brandie Pokorny  ,"IMPACT TRADES,FISC,ADP"
4221800,cust262,121988548,8209249,GBM Customers,Direct Customer,usa,usa,gbm,l,low,yes,24596,"GPS, KYCS, WDA",5/14/2020,1614527992,CIF,CIF,Acc1 Acc2 Acc3 Acc4 Acc151,no,no,yes,no,no,24596,20202771,ACTIVE,Trigger,LOW,5/21/2021,Loren Brizendine  ,"HIE,ADP,NFOS"
4471371,cust263,588865678,9539929,GBM Customers,Direct Customer,usa,usa,gbm,m,medium,no,0,KYCS,1800-01-01,0,CIF,CIF,Acc1 Acc2 Acc3 Acc4 Acc152,no,no,no,no,no,0,20183258,ACTIVE,New Business,MEDIUM,3/8/2021,Kindra Lebrun  ,"IMPACT TRADES,FISC,WDA"
4001274,cust264,144771613,16909474,GBM Customers,Direct Customer,gbr,gbr,gbm,l,medium,yes,1,"GPS, KYCS",3/10/2020,2600000,CIF,CIF,Acc1 Acc2 Acc3 Acc4 Acc153,no,no,yes,no,no,1,20203547,ACTIVE,Trigger,MEDIUM,7/30/2023,Tyron Duford  ,WDA
4172569,cust265,332852927,30709628,GBM Customers,Direct Customer,che,mex,gbm,l,low,yes,13,"DDA, GPS, KYCS",4/17/2020,31973581.26,CIF,CIF,Acc1 Acc2 Acc3 Acc4 Acc154,no,no,yes,no,no,13,20192453,ACTIVE,New Business - Remediation,LOW,4/26/2023,Sherril Neufeld  ,"PMC,WDA,LOAN IQ"
855338,cust266,100042867,25574176,GBM Customers,Direct Customer,bmu,bmu,gbm,m,low,no,0,KYCS,1800-01-01,0,CIF,CIF,Acc1 Acc2 Acc3 Acc4 Acc155,no,no,no,no,no,0,20202468,ACTIVE,New Business - Remediation,LOW,5/27/2022,Elden Hasting  ,"IMPACT TRADES,FITEK,WDA"
4103138,cust267,100236594,11165453,GBM Customers,Direct Customer,hkg,mus,affl,h,medium,no,0,KYCS,1800-01-01,0,CIF,CIF,Acc1 Acc2 Acc3 Acc4 Acc156,no,no,no,no,no,0,20212555,ACTIVE,Trigger,MEDIUM,4/23/2022,Romeo Giambrone  ,"IMPACT TRADES,FISC,FITEK"
975638,cust268,285667013,2509495,GBM Customers,Direct Customer,per,per,gbm,l,medium,no,0,KYCS,1800-01-01,0,ISD,ISD,Acc1 Acc2 Acc3 Acc4 Acc157,no,no,no,no,no,0,20203063,ACTIVE,Renewal,MEDIUM,7/24/2021,Robert Derusha,"IMPACT TRADES,FISC,FITEK"
4402735,cust269,960655698,34189890,GBM Customers,Direct Customer,usa,usa,gbm,m,high,yes,839,"DDA, GPS, KYCS, WDA",5/14/2020,461397907.4,CIF,CIF,Acc1 Acc2 Acc3 Acc4 Acc158,no,no,yes,no,no,839,20212761,ACTIVE,Trigger,HIGH,3/6/2021,Debra Whicker  ,"HIE,NFOS,FITEK"
4046166,cust270,941083047,34232402,GBM Customers,Direct Customer,can,can,gbm,m,medium,yes,124,"GPS, KYCS, WDA",5/7/2020,2409969.74,CIF,CIF,Acc1 Acc2 Acc3 Acc4 Acc159,no,no,yes,no,no,124,20182551,INACTIVE,New Business,MEDIUM,4/12/2019,Vikki Newlon  ,IMPACT TRADES
2587485,cust271,310456983,2403664,GBM Customers,Direct Customer,tha,sgp,gbm,h,scc,yes,2718,"GPS, KYCS, WDA",5/14/2020,64014304263,CIF,CIF,Acc1 Acc2 Acc3 Acc4 Acc160,no,no,yes,no,no,2718,20203356,ACTIVE,Trigger,SCC,5/28/2020,Nick Obrien,"NFOS,IMPACT TRADES,FISC"
759401,cust272,52083105,2369062,GBM Customers,Direct Customer,nld,nld,gbm,m,low,no,0,KYCS,1800-01-01,0,CIF ISD,CIF ISD,Acc1 Acc2 Acc3 Acc4 Acc161,no,no,no,no,no,0,20192758,ACTIVE,New Business - Remediation,LOW,11/29/2023,Eun Bushway  ,"IMPACT TRADES,FISC,FITEK"
65265,cust273,952007250,3506901,GBM Customers,Direct Customer,usa,usa,gbm,l,low,yes,43801,"Impact Fin, Impact Trades, KYCS",5/14/2020,2.28E+12,ISD,ISD,Acc1 Acc2 Acc3 Acc4 Acc162,yes,yes,no,no,no,43801,20193357,ACTIVE,Trigger,LOW,10/8/2023,Valencia James  ,"NFOS,TDA,TRT"
66295,cust274,642216561,2483050,GBM Customers,Direct Customer,usa,usa,gbm,l,low,no,0,KYCS,1800-01-01,0,CIF ISD,CIF ISD,Acc1 Acc2 Acc3 Acc4 Acc163,no,no,no,no,no,0,20163156,EXPIRED,New Business - Remediation,LOW,4/4/2019,Desire Felch  ,"IMPACT TRADES,FISC,WDA"
25341608,cust275,652447594,36825620,GBM Customers,Direct Customer,usa,usa,gbm,l,low,no,0,KYCS,1800-01-01,0,CIF,CIF,Acc1 Acc2 Acc3 Acc4 Acc164,no,no,no,no,no,0,20192973,ACTIVE,Trigger,LOW,5/8/2023,Kayleigh Asuncion  ,"IMPACT TRADES,FISC,WDA"
4119307,cust276,769414332,28125515,GBM Customers,Direct Customer,usa,usa,gbm,l,low,yes,1,"KYCS, WDA",7/19/2019,723.24,CIF,CIF,Acc1 Acc2 Acc3 Acc4 Acc165,no,no,yes,no,no,1,20173469,ACTIVE,New Business - Remediation,LOW,10/9/2023,Andre Bushell,"GPS,FISC,DDA"
25778714,cust277,631449769,38003356,GBM Customers,Direct Customer,usa,usa,gbm,l,low,yes,1,"GPS, KYCS",4/9/2020,4218.16,CIF,CIF,Acc1 Acc2 Acc3 Acc4 Acc166,no,no,yes,no,no,1,20202667,ACTIVE,New Business,LOW,10/15/2024,Arron Burse  ,"FISC,DDA,WDA"
4181002,cust278,756411477,8101467,GBM Customers,Direct Customer,usa,usa,gbm,l,medium,no,0,KYCS,1800-01-01,0,ISD,ISD,Acc1 Acc2 Acc3 Acc4 Acc167,no,no,no,no,no,0,20212475,ACTIVE,Renewal,MEDIUM,4/27/2021,Harvey Pressnell  ,"IMPACT TRADES,FISC,WDA"
4015769,cust279,100960849,37244595,GBM Customers,Direct Customer,aus,aus,gbm,m,medium,yes,106,"GPS, KYCS, WDA",4/30/2020,231036907.1,CIF,CIF,Acc1 Acc2 Acc3 Acc4 Acc168,no,no,yes,no,no,106,20192476,ACTIVE,New Business - Remediation,MEDIUM,5/30/2021,Earl Laberge,
26084296,cust280,600839170,35989202,GBM Customers,Direct Customer,usa,usa,gbm,h,low,no,0,KYCS,1800-01-01,0,CIF,CIF,Acc1 Acc2 Acc3 Acc4 Acc169,no,no,no,no,no,0,20203575,ACTIVE,Trigger,LOW,12/10/2024,Tyron Matousek  ,"IMPACT TRADES,FISC,WDA"
4440218,cust281,356242266,25593487,GBM Customers,Direct Customer,nld,nld,gbm,l,low,no,0,KYCS,1800-01-01,0,CIF,CIF,Acc1 Acc2 Acc3 Acc4 Acc170,no,no,no,no,no,0,20212551,ACTIVE,Trigger,LOW,6/7/2022,Freeman Napier  ,"IMPACT TRADES,FISC,FITEK"
4182165,cust282,871605429,30922218,GBM Customers,Direct Customer,pri,pri,gbm,h,low,yes,1543,"GPS, KYCS, WDA",5/11/2020,108979602.4,CIF,CIF,Acc1 Acc2 Acc3 Acc4 Acc171,no,no,yes,no,no,1543,20212548,ACTIVE,Renewal,LOW,4/28/2025,Leland Lish  ,"NFOS,IMPACT TRADES"
25753983,cust283,565313602,37949683,GBM Customers,Direct Customer,ind,ind,gbm,l,low,yes,168,"DDA, GPS, KYCS",5/13/2020,392513168,CIF,CIF,Acc1 Acc2 Acc3 Acc4 Acc172,no,no,yes,no,no,168,20202470,ACTIVE,New Business,LOW,7/29/2024,Glen Montano  ,"SMT,WDA,IMPACT FIN"
4343575,cust284,295424879,32787779,GBM Customers,Direct Customer,usa,gbr,gbm,h,scc,yes,24,"GPS, KYCS, WDA",4/15/2020,17224,CIF,CIF,Acc1 Acc2 Acc3 Acc4 Acc173,no,no,yes,no,no,24,20202755,ACTIVE,Renewal,SCC,8/11/2020,Tabetha Cuddy  ,
65344,cust285,13658243,2485249,GBM Customers,Direct Customer,usa,usa,gbm,l,low,yes,908,"Impact Trades, KYCS",5/13/2020,6167089338,ISD,ISD,Acc1 Acc2 Acc3 Acc4 Acc174,yes,yes,no,no,no,908,20173355,EXPIRED,Trigger,LOW,9/30/2019,Earnest Dunagan  ,"GPS,DDA,WDA"
4131648,cust286,834579459,364476,GBM Customers,Direct Customer,hkg,hkg,gbm,m,medium,yes,10,"DDA, KYCS",4/17/2020,56268,CIF,CIF,Acc1 Acc2 Acc3 Acc4 Acc175,no,no,yes,no,no,10,20183048,EXPIRED,Trigger,MEDIUM,6/26/2019,Jacklyn Ricotta  ,"GPS,WDA,FITEK"
4283879,cust287,18906691,32639536,GBM Customers,Direct Customer,usa,usa,gbm,m,medium,yes,33,"GPS, KYCS, WDA",3/13/2020,3059224,CIF,CIF,Acc1 Acc2 Acc3 Acc4 Acc176,no,no,yes,no,no,33,20193172,ACTIVE,Trigger,MEDIUM,4/27/2019,Clemencia Buchta  ,"ADP,IMPACT TRADES,LOAN IQ"
4627216,cust288,168760361,35253164,GBM Customers,Direct Customer,gbr,gbr,gbm,m,medium,no,0,KYCS,1800-01-01,0,CIF,CIF,Acc1 Acc2 Acc3 Acc4 Acc177,no,no,no,no,no,0,20192572,ACTIVE,Trigger,MEDIUM,2/23/2021,Zenobia Green  ,"GPS,WDA"
4115589,cust289,946610601,30764095,GBM Customers,Direct Customer,usa,usa,gbm,l,low,yes,563,"DDA, GPS, KYCS",5/8/2020,4781873974,CIF,CIF,Acc1 Acc2 Acc3 Acc4 Acc178,no,no,yes,no,no,563,20183563,ACTIVE,New Business - Remediation,LOW,12/27/2023,Joey Ellinger  ,"IMPACT TRADES,WDA"
4265967,cust290,100684349,31663141,GBM Customers,Direct Customer,cym,usa,gbm,m,medium,no,0,KYCS,1800-01-01,0,CIF,CIF,Acc1 Acc2 Acc3 Acc4 Acc179,no,no,no,no,no,0,20183057,EXPIRED,Trigger,MEDIUM,6/18/2019,Alonzo Dunkin  ,"IMPACT TRADES,FISC,WDA"
25829013,cust291,401174627,38063141,GBM Customers,Direct Customer,usa,usa,gbm,,low,yes,29,"GPS, KYCS, WDA",4/9/2020,15680552.04,CIF,CIF,Acc1 Acc2 Acc3 Acc4 Acc180,no,no,yes,no,no,29,20202848,ACTIVE,New Business,LOW,7/19/2022,Cornelius Dearmond  ,"FISC,ADP,IMPACT TRADES"
4202800,cust292,616819744,30870347,GBM Customers,Direct Customer,usa,usa,gbm,l,low,yes,5067,"KYCS, WDA",5/4/2020,107962590.2,CIF,CIF,Acc1 Acc2 Acc3 Acc4 Acc181,no,no,yes,no,no,5067,20182561,ACTIVE,New Business - Remediation,LOW,7/10/2022,Danilo Nading  ,"HIE,NFOS,TDA"
68945,cust293,590311955,2600580,GBM Customers,Direct Customer,usa,usa,gbm,l,medium,yes,5349,"NFOS, KYCS",5/13/2020,3.19E+11,ISD,ISD,Acc1 Acc2 Acc3 Acc4 Acc182,yes,no,no,no,no,5349,20202468,EXPIRED,Renewal,MEDIUM,4/29/2020,Steve Mealey  ,"IMPACT TRADES,TDA,IMPACT FIN"
4009324,cust294,64887038,2234512,GBM Customers,Direct Customer,esp,usa,gbm,m,medium,yes,3831,"NFOS, KYCS",5/14/2020,2.21E+11,ISD,ISD,Acc1 Acc2 Acc3 Acc4 Acc183,yes,no,no,no,no,3831,20192570,ACTIVE,Renewal,MEDIUM,12/20/2021,Bobby Brumbelow  ,"IMPACT TRADES,TDA,IMPACT FIN"
396134,cust295,995099981,16947476,GBM Customers,Direct Customer,usa,usa,gbm,l,low,no,0,KYCS,1800-01-01,0,ISD,ISD,Acc1 Acc2 Acc3 Acc4 Acc184,no,no,no,no,no,0,20172966,EXPIRED,New Business - Remediation,LOW,8/31/2019,Ronny Concepcion  ,"IMPACT TRADES,FISC,WDA"
4237598,cust296,707199933,31442721,GBM Customers,Direct Customer,bmu,bmu,gbm,l,low,yes,76,"Impact Fin, NFOS, KYCS",5/14/2020,809296427.4,CIF ISD,CIF ISD,Acc1 Acc2 Acc3 Acc4 Acc185,yes,yes,no,no,no,76,20183565,ACTIVE,New Business - Remediation,LOW,4/18/2023,Cleo Hobgood  ,"CAL,IMPACT TRADES,FISC"
4040051,cust297,49060005,4600525,GBM Customers,Direct Customer,usa,usa,gbm,m,medium,no,0,KYCS,1800-01-01,0,CIF,CIF,Acc1 Acc2 Acc3 Acc4 Acc186,no,no,no,no,no,0,59088,Active,Amendment,MEDIUM,12/9/2017,Sandi Sauls  ,"IMPACT TRADES,FISC,WDA"
1264402,cust298,887104814,4574534,GBM Customers,Direct Customer,irl,irl,gbm,l,low,yes,728,"NFOS, KYCS",5/14/2020,46189989987,CIF ISD,CIF ISD,Acc1 Acc2 Acc3 Acc4 Acc187,yes,no,no,no,no,728,20173561,ACTIVE,New Business - Remediation,LOW,8/1/2022,Teressa Veatch  ,"WDA,TRT,GPS"
-677,cust299,924232749,11311868,GBM Customers,Direct Customer,lka,lka,gbm,h,high,yes,16627,"GPS, KYCS, WDA",5/14/2020,4991645604,CIF ISD,CIF,Acc1 Acc2 Acc3 Acc4 Acc188,no,no,yes,no,no,16627,20203362,ACTIVE,Trigger,HIGH,5/22/2020,Sharda Angevine  ,"FISC,IMPACT FIN,ADP"
2136294,cust300,798543527,29814014,GBM Customers,Direct Customer,bmu,bmu,gbm,m,medium,no,0,KYCS,1800-01-01,0,CIF,CIF,Acc1 Acc2 Acc3 Acc4 Acc189,no,no,no,no,no,0,20182966,EXPIRED,New Business - Remediation,MEDIUM,4/20/2020,Taisha Clermont  ,"IMPACT TRADES,FITEK,WDA"
72563,cust301,100031284,3763770,GBM Customers,Direct Customer,usa,usa,gbm,h,low,yes,179,"Impact Trades, KYCS",5/13/2020,1827500542,CIF ISD,CIF ISD,Acc1 Acc2 Acc3 Acc4 Acc190,yes,yes,no,no,no,179,20212453,ACTIVE,Trigger,LOW,10/29/2024,Richard Johnson,"IMPACT FIN,WDA,GPS"
25506520,cust302,681843942,25672216,GBM Customers,Direct Customer,usa,usa,gbm,l,low,yes,2042,"Impact Trades, KYCS",5/14/2020,5081735318,ISD,ISD,Acc1 Acc2 Acc3 Acc4 Acc191,yes,yes,no,no,no,2042,20193572,ACTIVE,Trigger,LOW,8/12/2023,Sina Lamers  ,"GPS,DDA,WDA"
4178837,cust303,100151425,26858404,GBM Customers,Direct Customer,can,can,gbm,l,low,yes,4340,"DDA, GPS, KYCS",5/14/2020,1.56E+11,CIF,CIF,Acc1 Acc2 Acc3 Acc4 Acc192,no,no,yes,no,no,4340,20203064,ACTIVE,Trigger,LOW,2/11/2022,Kam Ackley  ,"NFOS,IMPACT TRADES,PMC"
24955539,cust304,260321971,35478955,GBM Customers,Direct Customer,irl,irl,gbm,h,medium,no,0,KYCS,1800-01-01,0,CIF,CIF,Acc1 Acc2 Acc3 Acc4 Acc193,no,no,no,no,no,0,20193263,ACTIVE,New Business,MEDIUM,5/6/2021,Amrita Singh,"IMPACT TRADES,FISC,FITEK"
4139920,cust305,101112158,28869505,GBM Customers,Direct Customer,usa,usa,gbm,l,low,no,0,KYCS,1800-01-01,0,CIF,CIF,Acc1 Acc2 Acc3 Acc4 Acc194,no,no,no,no,no,0,20192657,ACTIVE,New Business - Remediation,LOW,6/26/2023,Jonathan Parker,"IMPACT TRADES,FISC,WDA"
26172235,cust306,502415534,35130690,GBM Customers,Direct Customer,usa,usa,gbm,h,low,no,0,KYCS,1800-01-01,0,CIF,CIF,Acc1 Acc2 Acc3 Acc4 Acc195,no,no,no,no,no,0,20212573,ACTIVE,New Business,LOW,4/2/2025,Steve Moore,"IMPACT TRADES,FISC,WDA"
4118938,cust307,100412588,30579409,GBM Customers,Direct Customer,usa,usa,gbm,m,medium,yes,23,"KYCS, WDA",5/1/2020,1675.8,CIF,CIF,Acc1 Acc2 Acc3 Acc4 Acc196,no,no,yes,no,no,23,20182457,EXPIRED,New Business - Remediation,MEDIUM,6/20/2019,Deloise Marez  ,"GPS,ADP,IMPACT TRADES"
25287497,cust308,319160255,36705695,GBM Customers,Direct Customer,mex,mex,gbm,h,medium,no,0,KYCS,1800-01-01,0,CIF,CIF,Acc1 Acc2 Acc3 Acc4 Acc197,no,no,no,no,no,0,20203362,ACTIVE,Trigger,MEDIUM,7/31/2021,Alan Amante  ,"IMPACT TRADES,FISC,FITEK"
4454060,cust309,100883321,364477,GBM Customers,Direct Customer,usa,usa,gbm,m,medium,yes,8,"DDA, GPS, KYCS",4/20/2020,28410816,CIF,CIF,Acc1 Acc2 Acc3 Acc4 Acc198,no,no,yes,no,no,8,20183252,EXPIRED,Trigger,MEDIUM,6/7/2019,Shila Eyre  ,"ADP,WDA,IMPACT TRADES"
310985,cust310,656817691,2817946,GBM Customers,Direct Customer,bra,bra,gbm,h,high,no,0,KYCS,1800-01-01,0,ISD,ISD,Acc1 Acc2 Acc3 Acc4 Acc199,no,no,no,no,no,0,20203354,ACTIVE,New Business,HIGH,3/4/2021,Makeda Hutson  ,"IMPACT TRADES,FISC,FITEK"
4159084,cust311,632894559,29799716,GBM Customers,Direct Customer,aus,aus,gbm,m,medium,yes,191,"GPS, KYCS, WDA",4/30/2020,2304302627,CIF,CIF,Acc1 Acc2 Acc3 Acc4 Acc200,no,no,yes,no,no,191,20192546,ACTIVE,New Business - Remediation,MEDIUM,6/11/2021,Brandie Pokorny  ,"SMT,IMPACT FIN,IMPACT TRADES"
215298,cust312,272732913,11259360,GBM Customers,Direct Customer,kwt,kwt,gbm,h,high,yes,1828,"GPS, KYCS, WDA",5/14/2020,520462980.9,CIF,CIF,Acc1 Acc2 Acc3 Acc4 Acc201,no,no,yes,no,no,1828,20203049,ACTIVE,Renewal,HIGH,10/30/2020,Loren Brizendine  ,LOAN IQ
72501,cust313,915282512,2456804,GBM Customers,Direct Customer,usa,usa,gbm,l,low,yes,3111,"Impact Fin, Impact Trades, NFOS, KYCS",5/14/2020,2.77E+11,ISD,ISD,Acc1 Acc2 Acc3 Acc4 Acc202,yes,yes,no,no,no,3111,20192647,ACTIVE,Trigger,LOW,5/15/2019,Kindra Lebrun  ,"TDA,TRT,GPS"
4479295,cust314,730226807,25947199,GBM Customers,Direct Customer,usa,usa,gbm,l,low,yes,3400,"GPS, NFOS, KYCS",4/16/2020,1620331676,ISD,ISD,Acc1 Acc2 Acc3 Acc4 Acc203,yes,no,yes,no,no,3400,20182561,EXPIRED,Trigger,LOW,12/28/2019,Tyron Duford  ,"HIE,ADP,WDA"
72648,cust315,681682720,31454476,GBM Customers,Direct Customer,usa,usa,gbm,h,high,yes,1685,"Impact Fin, Impact Trades, NFOS, KYCS",5/14/2020,1.64E+11,CIF ISD,CIF ISD,Acc1 Acc2 Acc3 Acc4 Acc204,yes,yes,no,no,no,1685,20202573,ACTIVE,Renewal,HIGH,6/14/2020,Sherril Neufeld  ,"FISC,ADP,WDA"
4343577,cust316,87268793,32776670,GBM Customers,Direct Customer,usa,usa,gbm,m,medium,yes,37,"GPS, KYCS, WDA",4/23/2020,42319.02,CIF,CIF,Acc1 Acc2 Acc3 Acc4 Acc205,no,no,yes,no,no,37,20193050,ACTIVE,Renewal,MEDIUM,10/17/2019,Elden Hasting  ,"ADP,IMPACT TRADES,LOAN IQ"
4178499,cust317,273701033,30736185,GBM Customers,Direct Customer,mex,mex,gbm,m,medium,yes,644,"GPS, KYCS, WDA",5/14/2020,353579825.4,CIF,CIF,Acc1 Acc2 Acc3 Acc4 Acc206,no,no,yes,no,no,644,20183471,ACTIVE,New Business - Remediation,MEDIUM,4/25/2021,Romeo Giambrone  ,DDA
4238546,cust318,595422411,31208860,GBM Customers,Direct Customer,aut,aut,gbm,h,scc,no,0,KYCS,1800-01-01,0,ISD,ISD,Acc1 Acc2 Acc3 Acc4 Acc207,no,no,no,no,no,0,20192449,ACTIVE,Renewal,SCC,8/31/2019,Robert Derusha,"IMPACT TRADES,FISC,FITEK"
25450581,cust319,583263242,36909447,GBM Customers,Direct Customer,usa,usa,gbm,m,medium,yes,447,"GPS, KYCS, WDA",5/8/2020,22683603.1,CIF,CIF,Acc1 Acc2 Acc3 Acc4 Acc208,no,no,yes,no,no,447,20193172,ACTIVE,Trigger,MEDIUM,8/13/2021,Debra Whicker  ,"NFOS,CAL,IMPACT TRADES"
4115612,cust320,933062057,29135246,GBM Customers,Direct Customer,usa,usa,gbm,h,scc,yes,235,"KYCS, WDA",4/20/2020,1080362,CIF,CIF,Acc1 Acc2 Acc3 Acc4 Acc209,no,no,yes,no,no,235,20202964,ACTIVE,Renewal,SCC,12/16/2020,Vikki Newlon  ,"IMPACT TRADES,PMC,GPS"
4561938,cust321,36073219,35085436,GBM Customers,Direct Customer,irl,irl,gbm,m,medium,yes,24,"Loan IQ, KYCS",1/31/2020,549000000,CIF,CIF,Acc1 Acc2 Acc3 Acc4 Acc210,no,no,no,no,yes,24,20173557,EXPIRED,New Business,MEDIUM,4/13/2019,Nick Obrien,"NFOS,IMPACT TRADES,CAL"
70960,cust322,41351679,3201759,GBM Customers,Direct Customer,usa,usa,gbmi,l,low,no,0,KYCS,1800-01-01,0,CIF ISD,CIF,Acc1 Acc2 Acc3 Acc4 Acc211,no,no,no,no,no,0,42578,Active,Amendment,LOW,9/24/2018,Eun Bushway  ,"IMPACT TRADES,FISC,WDA"
430370,cust323,100886030,3204796,GBM Customers,Direct Customer,usa,usa,gbm,m,medium,yes,321,"GPS, Loan IQ, KYCS",5/15/2020,59771501892,CIF ISD,CIF ISD,Acc1 Acc2 Acc3 Acc4 Acc212,no,no,yes,no,yes,321,20203146,ACTIVE,Renewal (Scheduled),MEDIUM,12/16/2020,Valencia James  ,"HIE,ADP,NFOS"
26019185,cust324,229737959,37414472,GBM Customers,Direct Customer,brb,brb,gbm,h,medium,yes,8,"GPS, KYCS, WDA",4/30/2020,1842.08,CIF,CIF,Acc1 Acc2 Acc3 Acc4 Acc213,no,no,yes,no,no,8,20203355,ACTIVE,New Business,MEDIUM,12/1/2022,Desire Felch  ,"FISC,FITEK,IMPACT TRADES"
24903121,cust325,100390616,35820754,GBM Customers,Direct Customer,dnk,dnk,gbm,m,medium,yes,13,"KYCS, WDA",3/31/2020,3886.48,CIF,CIF,Acc1 Acc2 Acc3 Acc4 Acc214,no,no,yes,no,no,13,20183256,ACTIVE,New Business,MEDIUM,1/25/2021,Kayleigh Asuncion  ,"GPS,FISC,FITEK"
4478504,cust326,298481221,34423786,GBM Customers,Direct Customer,usa,usa,gbm,l,low,no,0,KYCS,1800-01-01,0,CIF,CIF,Acc1 Acc2 Acc3 Acc4 Acc215,no,no,no,no,no,0,20193148,ACTIVE,New Business,LOW,2/12/2024,Andre Bushell,"IMPACT TRADES,FISC,WDA"
4124725,cust327,976926641,364478,GBM Customers,Direct Customer,bmu,bmu,gbm,h,medium,yes,3,"KYCS, WDA",4/30/2020,48.54,CIF,CIF,Acc1 Acc2 Acc3 Acc4 Acc216,no,no,yes,no,no,3,20203146,ACTIVE,Renewal (Scheduled),MEDIUM,11/14/2022,Arron Burse  ,"GPS,DDA,FITEK"
2601626,cust328,138074413,2448273,GBM Customers,Direct Customer,bel,bel,gbm,l,low,no,0,KYCS,1800-01-01,0,CIF,CIF,Acc1 Acc2 Acc3 Acc4 Acc217,no,no,no,no,no,0,20183550,ACTIVE,New Business - Remediation,LOW,5/20/2023,Harvey Pressnell  ,"IMPACT TRADES,FISC,FITEK"
25433268,cust329,398541871,36849339,GBM Customers,Direct Customer,deu,deu,gbm,m,medium,no,0,KYCS,1800-01-01,0,CIF,CIF,Acc1 Acc2 Acc3 Acc4 Acc218,no,no,no,no,no,0,20192772,ACTIVE,New Business,MEDIUM,7/17/2021,Earl Laberge,"IMPACT TRADES,FISC,FITEK"
4113711,cust330,554808890,26400896,GBM Customers,Direct Customer,usa,usa,gbm,m,medium,no,0,KYCS,1800-01-01,0,CIF,CIF,Acc1 Acc2 Acc3 Acc4 Acc219,no,no,no,no,no,0,53595,Active,Amendment,MEDIUM,6/13/2018,Tyron Matousek  ,"IMPACT TRADES,FISC,WDA"
4003842,cust331,566875666,3742045,GBM Customers,Direct Customer,twn,hkg,gbm,h,high,yes,1977,"GPS, KYCS, WDA",5/14/2020,596831667.6,CIF,CIF,Acc1 Acc2 Acc3 Acc4 Acc220,no,no,yes,no,no,1977,20193259,EXPIRED,Renewal,HIGH,2/28/2020,Freeman Napier  ,NFOS
